#curie_map:
#  cmpo: http://www.ebi.ac.uk/cmpo/CMPO_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/sysmicro.sssom.tsv
#mapping_set_description: Curated cellular microscopy phenotype mappings from SysMicro
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/fg/sym
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
Normal mitotic exit	phenotype	skos:closeMatch	cmpo:0000314	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Nuclear actin ring	phenotype	skos:closeMatch	cmpo:0000302	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Polylobed	phenotype	skos:closeMatch	cmpo:0000157	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Proliferating cells	phenotype	skos:closeMatch	cmpo:0000241	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Prolonged mitotic exit	phenotype	skos:closeMatch	cmpo:0000205	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Reduction in IR-induced 53BP1 foci in HeLa cells	phenotype	skos:closeMatch	cmpo:0000180	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Reduction in IR-induced 53BP1 foci in HeLa cells	phenotype	skos:closeMatch	cmpo:0000181	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Reduction in IR-induced 53BP1 foci in U2OS cells	phenotype	skos:closeMatch	cmpo:0000180	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Reduction in IR-induced 53BP1 foci in U2OS cells	phenotype	skos:closeMatch	cmpo:0000181	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
SM phenotype	phenotype	skos:closeMatch	cmpo:0000118	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
SM phenotype	phenotype	skos:closeMatch	cmpo:0000305	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Small cells	phenotype	skos:closeMatch	cmpo:0000129	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Variable cell size	phenotype	skos:closeMatch	cmpo:0000269	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
cell death	phenotype	skos:closeMatch	cmpo:0000030	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
cell migration	phenotype	skos:closeMatch	cmpo:0000033	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
decreased NF-kB oscillation	phenotype	skos:closeMatch	cmpo:0000330	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
different NF-kB  oscillation pattern	phenotype	skos:closeMatch	cmpo:0000333	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
enhanced secretion	phenotype	skos:closeMatch	cmpo:0000246	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
increased NF-kB oscillation	phenotype	skos:closeMatch	cmpo:0000331	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
increased proliferation	phenotype	skos:closeMatch	cmpo:0000241	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
large nucleus	phenotype	skos:closeMatch	cmpo:0000140	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
metaphase alignment problems/including no metaphase	phenotype	skos:closeMatch	cmpo:0000212	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
metaphase alignment problems/including no metaphase	phenotype	skos:closeMatch	cmpo:0000348	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
metaphase delay/arrest	phenotype	skos:closeMatch	cmpo:0000305	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
metaphase delay/arrest	phenotype	skos:closeMatch	cmpo:0000307	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
mild inhibition of secretion	phenotype	skos:closeMatch	cmpo:0000318	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
no NF-kB  oscillation	phenotype	skos:closeMatch	cmpo:0000332	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
nuclei stay close together	phenotype	skos:closeMatch	cmpo:0000213	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
reduced mitotic index	phenotype	skos:closeMatch	cmpo:0000058	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
segregation problems/chromatin bridges/lagging chromosomes/multiple DNA masses	phenotype	skos:closeMatch	cmpo:0000326	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
small nucleus	phenotype	skos:closeMatch	cmpo:0000141	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
strange nuclear shape	phenotype	skos:closeMatch	cmpo:0000157	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
strong inhibition of secretion	phenotype	skos:closeMatch	cmpo:0000319	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
