#curie_map:
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  MP: http://purl.obolibrary.org/obo/MP_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/ukbiobank.sssom.tsv
#mapping_set_description: UK Biobank phenotype mappings to EFO
#subject_type: rdfs literal
#subject_source: https://github.com/EBISPOT/EFO-UKB-mappings
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
Acquired pure red cell aplasia	phenotype	skos:closeMatch	HP:0012410	semapv:ManualMappingCuration	efo	2019-04-26
Actinomycosis	disease	skos:closeMatch	EFO:0007128	semapv:ManualMappingCuration	efo	2019-04-26
Acute and subacute endocarditis	disease	skos:closeMatch	EFO:0000465	semapv:ManualMappingCuration	efo	2019-04-26
Acute and transient psychotic disorders	disease	skos:closeMatch	EFO:0005940	semapv:ManualMappingCuration	efo	2019-04-26
Acute appendicitis	disease	skos:closeMatch	EFO:0007149	semapv:ManualMappingCuration	efo	2019-04-26
Acute hepatitis A	disease	skos:closeMatch	EFO:0007305	semapv:ManualMappingCuration	efo	2019-04-26
Acute hepatitis B	disease	skos:closeMatch	EFO:0004197	semapv:ManualMappingCuration	efo	2019-04-26
Acute lymphadenitis	phenotype	skos:closeMatch	HP:0002840	semapv:ManualMappingCuration	efo	2019-04-26
Acute myocardial infarction	disease	skos:closeMatch	EFO:0008583	semapv:ManualMappingCuration	efo	2019-04-26
Acute nephritic syndrome	disease	skos:closeMatch	EFO:1002050	semapv:ManualMappingCuration	efo	2019-04-26
Acute pancreatitis	disease	skos:closeMatch	EFO:1000652	semapv:ManualMappingCuration	efo	2019-04-26
Acute pericarditis	disease	skos:closeMatch	EFO:0007427	semapv:ManualMappingCuration	efo	2019-04-26
Acute pharyngitis	disease	skos:closeMatch	EFO:0009657	semapv:ManualMappingCuration	efo	2019-04-26
Acute poliomyelitis	disease	skos:closeMatch	EFO:0007450	semapv:ManualMappingCuration	efo	2019-04-26
Acute renal failure	phenotype	skos:closeMatch	HP:0001919	semapv:ManualMappingCuration	efo	2019-04-26
Acute sinusitis	disease	skos:closeMatch	EFO:0007486	semapv:ManualMappingCuration	efo	2019-04-26
Acute tonsillitis	phenotype	skos:closeMatch	HP:0011110	semapv:ManualMappingCuration	efo	2019-04-26
Acute tubulo-interstitial nephritis	disease	skos:closeMatch	EFO:1002050	semapv:ManualMappingCuration	efo	2019-04-26
Acute upper respiratory infections of multiple and unspecified sites	disease	skos:closeMatch	EFO:0000684	semapv:ManualMappingCuration	efo	2019-04-26
Adjustment and management of implanted device	factor	skos:closeMatch	EFO:0009786	semapv:ManualMappingCuration	efo	2019-04-26
Adrenogenital disorders	disease	skos:closeMatch	ORPHA:181412	semapv:ManualMappingCuration	efo	2019-04-26
Adult osteomalacia	disease	skos:closeMatch	EFO:1002027	semapv:ManualMappingCuration	efo	2019-04-26
Age at death	measurement	skos:closeMatch	EFO:0005056	semapv:ManualMappingCuration	efo	2019-04-26
Age at first live birth	measurement	skos:closeMatch	EFO:0009101	semapv:ManualMappingCuration	efo	2019-04-26
Age at last live birth	measurement	skos:closeMatch	EFO:0009440	semapv:ManualMappingCuration	efo	2019-04-26
Age completed full time education	measurement	skos:closeMatch	EFO:0004784	semapv:ManualMappingCuration	efo	2019-04-26
Age of primiparous women at birth of child	measurement	skos:closeMatch	EFO:0009101	semapv:ManualMappingCuration	efo	2019-04-26
Age when periods started (menarche)	measurement	skos:closeMatch	EFO:0004703	semapv:ManualMappingCuration	efo	2019-04-26
Agranulocytosis	phenotype	skos:closeMatch	HP:0012234	semapv:ManualMappingCuration	efo	2019-04-26
Alcohol intake frequency.	measurement	skos:closeMatch	EFO:0007878	semapv:ManualMappingCuration	efo	2019-04-26
Alcoholic liver disease	disease	skos:closeMatch	EFO:0008573	semapv:ManualMappingCuration	efo	2019-04-26
Allergic contact dermatitis	disease	skos:closeMatch	EFO:1000668	semapv:ManualMappingCuration	efo	2019-04-26
Alopecia areata	disease	skos:closeMatch	EFO:0004192	semapv:ManualMappingCuration	efo	2019-04-26
Alzheimer s disease	disease	skos:closeMatch	EFO:0000249	semapv:ManualMappingCuration	efo	2019-04-26
Amoebiasis	disease	skos:closeMatch	EFO:0007144	semapv:ManualMappingCuration	efo	2019-04-26
Amyloidosis	disease	skos:closeMatch	EFO:1001875	semapv:ManualMappingCuration	efo	2019-04-26
Anaemia due to enzyme disorders	disease	skos:closeMatch	EFO:0009529	semapv:ManualMappingCuration	efo	2019-04-26
Androgenic alopecia	disease	skos:closeMatch	EFO:0004191	semapv:ManualMappingCuration	efo	2019-04-26
Angina pectoris	phenotype	skos:closeMatch	EFO:0003913	semapv:ManualMappingCuration	efo	2019-04-26
Ankylosing spondylitis	disease	skos:closeMatch	EFO:0003898	semapv:ManualMappingCuration	efo	2019-04-26
Anogenital herpesviral infection	disease	skos:closeMatch	EFO:0007282	semapv:ManualMappingCuration	efo	2019-04-26
Antenatal screening	factor	skos:closeMatch	EFO:0009787	semapv:ManualMappingCuration	efo	2019-04-26
Anuria and oliguria	disease	skos:closeMatch	EFO:0009530	semapv:ManualMappingCuration	efo	2019-04-26
Aortic aneurysm and dissection	disease	skos:closeMatch	EFO:0001666	semapv:ManualMappingCuration	efo	2019-04-26
Apocrine sweat disorders	disease	skos:closeMatch	EFO:1002046	semapv:ManualMappingCuration	efo	2019-04-26
Arterial embolism and thrombosis	disease	skos:closeMatch	EFO:0004286	semapv:ManualMappingCuration	efo	2019-04-26
Arthrosis of first carpometacarpal joint	disease	skos:closeMatch	EFO:1000999	semapv:ManualMappingCuration	efo	2019-04-26
Artificial opening status	factor	skos:closeMatch	EFO:0009789	semapv:ManualMappingCuration	efo	2019-04-26
Ascariasis	disease	skos:closeMatch	EFO:0007154	semapv:ManualMappingCuration	efo	2019-04-26
Ascites	phenotype	skos:closeMatch	HP:0001541	semapv:ManualMappingCuration	efo	2019-04-26
Ascorbic acid deficiency	disease	skos:closeMatch	EFO:1000822	semapv:ManualMappingCuration	efo	2019-04-26
