#curie_map:
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/uniprot.sssom.tsv
#mapping_set_description: Curated disease mappings from UniProt
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/uniprot
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
Charcot-Marie-Tooth disease 2S	disease	skos:closeMatch	ORPHA:166	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Charcot-Marie-Tooth disease 2T	disease	skos:closeMatch	ORPHA:166	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Charcot-Marie-Tooth disease 2U	disease	skos:closeMatch	ORPHA:397735	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Charcot-Marie-Tooth disease 2V	disease	skos:closeMatch	ORPHA:64746	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Charcot-Marie-Tooth disease, recessive, intermediate type, D	disease	skos:closeMatch	ORPHA:268337	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Cholestasis, progressive familial intrahepatic, 4	disease	skos:closeMatch	ORPHA:172	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Ciliary dyskinesia, primary, 29	disease	skos:closeMatch	ORPHA:244	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Ciliary dyskinesia, primary, 30	disease	skos:closeMatch	ORPHA:244	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Ciliary dyskinesia, primary, 31	disease	skos:closeMatch	ORPHA:244	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Ciliary dyskinesia, primary, 32	disease	skos:closeMatch	ORPHA:244	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Cole-Carpenter syndrome 1	disease	skos:closeMatch	ORPHA:2050	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Cole-Carpenter syndrome 2	disease	skos:closeMatch	ORPHA:2050	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Coloboma, ocular, autosomal recessive	disease	skos:closeMatch	ORPHA:194	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Combined oxidative phosphorylation deficiency 26	disease	skos:closeMatch	ORPHA:223713	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
Cone-rod dystrophy 19	disease	skos:closeMatch	ORPHA:1872	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Cone-rod dystrophy 20	disease	skos:closeMatch	ORPHA:1872	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Cone-rod dystrophy 21	disease	skos:closeMatch	ORPHA:1872	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Congenital disorder of glycosylation 1Y	disease	skos:closeMatch	ORPHA:370927	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Congenital disorder of glycosylation 1Z	disease	skos:closeMatch	EFO:0005545	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Congenital heart defects, hamartomas of tongue, and polysyndactyly	disease	skos:closeMatch	ORPHA:1338	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Congenital heart defects, multiple types, 4	disease	skos:closeMatch	EFO:0005207	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Craniosynostosis 6	disease	skos:closeMatch	ORPHA:1531	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
Cutis laxa, autosomal dominant, 3	disease	skos:closeMatch	ORPHA:90348	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
Deafness, autosomal dominant, 40	disease	skos:closeMatch	ORPHA:90635	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Deafness, autosomal dominant, 65	disease	skos:closeMatch	ORPHA:90635	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Deafness, autosomal dominant, 67	disease	skos:closeMatch	ORPHA:90635	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Deafness, autosomal recessive, 101	disease	skos:closeMatch	ORPHA:90636	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Deafness, autosomal recessive, 102	disease	skos:closeMatch	ORPHA:90636	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Deafness, autosomal recessive, 103	disease	skos:closeMatch	ORPHA:90636	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Deafness, autosomal recessive, 104	disease	skos:closeMatch	ORPHA:90636	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Deafness, autosomal recessive, 44	disease	skos:closeMatch	ORPHA:90636	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Desbuquois dysplasia 2	disease	skos:closeMatch	ORPHA:1425	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Diabetes mellitus, non-insulin-dependent, 5	disease	skos:closeMatch	EFO:0001360	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Diamond-Blackfan anemia 13	disease	skos:closeMatch	ORPHA:124	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Diamond-Blackfan anemia 14, with mandibulofacial dysostosis	disease	skos:closeMatch	ORPHA:124	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Diamond-Blackfan anemia 15, with mandibulofacial dysostosis	disease	skos:closeMatch	ORPHA:124	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Diarrhea 7	disease	skos:closeMatch	HP:0002014	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Dicarboxylic aminoaciduria	disease	skos:closeMatch	ORPHA:2195	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Dysfibrinogenemia, congenital	disease	skos:closeMatch	ORPHA:98881	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Dyskeratosis congenita, autosomal dominant, 6	disease	skos:closeMatch	ORPHA:1775	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
Dyskeratosis congenita, autosomal recessive, 6	disease	skos:closeMatch	ORPHA:1775	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Dyskeratosis congenita, autosomal recessive, 7	disease	skos:closeMatch	ORPHA:1775	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
Dystonia 2, torsion, autosomal recessive	disease	skos:closeMatch	ORPHA:99657	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
