#curie_map:
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  CEPH: http://purl.obolibrary.org/obo/CEPH_
#  CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#  CHMO: http://purl.obolibrary.org/obo/CHMO_
#  CL: http://purl.obolibrary.org/obo/CL_
#  CLO: http://purl.obolibrary.org/obo/CLO_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  ENVO: http://purl.obolibrary.org/obo/ENVO_
#  EO: http://purl.obolibrary.org/obo/EO_
#  FOODON: http://purl.obolibrary.org/obo/FOODON_
#  GO: http://purl.obolibrary.org/obo/GO_
#  MI: http://purl.obolibrary.org/obo/MI_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  OMIT: http://purl.obolibrary.org/obo/OMIT_
#  PO: http://purl.obolibrary.org/obo/PO_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  VTO: http://purl.obolibrary.org/obo/VTO_
#  bao: http://www.bioassayontology.org/bao#BAO_
#  edam.topic: http://edamontology.org/topic_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/metabolights.sssom.tsv
#mapping_set_description: Curated metabolomics mappings from MetaboLights
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/metabolights
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
Buffer	organismPart	skos:closeMatch	EFO:0005434	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Bupleurum aureum	organism	skos:closeMatch	NCBITaxon:428561	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Burkholderia thailandensis	organism	skos:closeMatch	NCBITaxon:57975	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
C-10 cell	organismPart	skos:closeMatch	BTO:0004532	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
C2C12 cell	organismPart	skos:closeMatch	EFO:0001098	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
C57BL/6	organismPart	skos:closeMatch	EFO:0004472	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
CACO-2 cell	organismPart	skos:closeMatch	EFO:0001099	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
CELL MEDIA	organismPart	skos:closeMatch	EFO:0000579	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
CHO-K1 cell	organismPart	skos:closeMatch	BTO:0000457	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Caenorhabditis elegans	organism	skos:closeMatch	NCBITaxon:6239	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Calanus	organism	skos:closeMatch	NCBITaxon:6836	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Calendula officinalis	organism	skos:closeMatch	NCBITaxon:41496	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Calliergonella cuspidata	organism	skos:closeMatch	NCBITaxon:52999	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Camellia sinensis	organism	skos:closeMatch	NCBITaxon:2711	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Campylobacter jejuni	organism	skos:closeMatch	NCBITaxon:197	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Candida albicans	organism	skos:closeMatch	NCBITaxon:5476	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Candida glabrata	organism	skos:closeMatch	NCBITaxon:5478	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Candida inconspicua	organism	skos:closeMatch	NCIT:C127697	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Candida parapsilosis	organism	skos:closeMatch	NCBITaxon:5480	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Candida tropicalis	organism	skos:closeMatch	NCBITaxon:5482	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Carica papaya	organism	skos:closeMatch	NCBITaxon:3649	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Cell	factor	skos:closeMatch	GO:0005623	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Cells	factor	skos:closeMatch	OMIT:0003806	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Centaurea jacea	organism	skos:closeMatch	NCBITaxon:351340	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Centella asiatica	organism	skos:closeMatch	NCBITaxon:48106	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Chemical	factor	skos:closeMatch	CHEBI:24431	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Chlamydomonas reinhardtii	organism	skos:closeMatch	NCBITaxon:3055	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Chlorella	organism	skos:closeMatch	OMIT:0004031	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Chloroflexus	organism	skos:closeMatch	NCBITaxon:1107	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Chromobacterium violaceum	organism	skos:closeMatch	NCBITaxon:536	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Cichorium intybus	organism	skos:closeMatch	NCBITaxon:13427	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Clavispora lusitaniae	organism	skos:closeMatch	NCBITaxon:36911	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Colorectal adenocarcinoma	factor	skos:closeMatch	EFO:0000365	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Convallaria keiskei	organism	skos:closeMatch	NCBITaxon:182176	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Coral reef sea water	organism	skos:closeMatch	ENVO:00000150	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Coriandrum sativum	organism	skos:closeMatch	NCBITaxon:4047	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Corynebacterium glutamicum	organism	skos:closeMatch	NCBITaxon:1718	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Cricetulus griseus	organism	skos:closeMatch	NCBITaxon:10029	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Crocus sativus	organism	skos:closeMatch	NCBITaxon:82528	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Ctenopharyngodon idella	organism	skos:closeMatch	NCBITaxon:7959	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Cucumaria georgiana	organism	skos:closeMatch	NCBITaxon:864626	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Culture Media	factor	skos:closeMatch	OMIT:0004762	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Cunila	organism	skos:closeMatch	NCBITaxon:392618	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Dactylis glomerata	organism	skos:closeMatch	NCBITaxon:4509	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Danio rerio	organism	skos:closeMatch	NCBITaxon:7955	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Daphnia magna	organism	skos:closeMatch	NCBITaxon:35525	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Daphnia pulex	organism	skos:closeMatch	NCBITaxon:6669	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Daucus carota	organism	skos:closeMatch	NCBITaxon:4039	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Dicentrarchus labrax	organism	skos:closeMatch	NCBITaxon:13489	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Dictyostelium discoideum	organism	skos:closeMatch	NCBITaxon:44689	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Dioscorea caucasica	organism	skos:closeMatch	NCBITaxon:49457	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Drosophila	organismPart	skos:closeMatch	NCBITaxon:7215	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Drosophila melanogaster	organismPart	skos:closeMatch	NCBITaxon:7227	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Drosophila melanogaster x Drosophila simulans	organism	skos:closeMatch	NCBITaxon:1128429	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Drosophila simulans	organism	skos:closeMatch	NCBITaxon:7240	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Echinacea purpurea	organism	skos:closeMatch	NCBITaxon:53751	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Eisenia fetida	organism	skos:closeMatch	NCBITaxon:6396	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Eleutherococcus senticosus	organism	skos:closeMatch	NCBITaxon:82096	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Eleutherococcus sessiliflorus	organism	skos:closeMatch	NCBITaxon:105886	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Equisetum arvense	organism	skos:closeMatch	NCBITaxon:3258	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Equus caballus	organism	skos:closeMatch	NCBITaxon:9796	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Escherichia coli	organism	skos:closeMatch	NCBITaxon:562	semapv:ManualMappingCuration	Zoe May Pendlington	2018-10-01
Espeletia	organism	skos:closeMatch	NCBITaxon:185152	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Euglena gracilis	organism	skos:closeMatch	NCBITaxon:3039	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
Exudate	organismPart	skos:closeMatch	UBERON:0007780	semapv:ManualMappingCuration	Jiakang Chang	2018-09-28
