#curie_map:
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  CL: http://purl.obolibrary.org/obo/CL_
#  CLO: http://purl.obolibrary.org/obo/CLO_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  EO: http://purl.obolibrary.org/obo/EO_
#  FMA: http://purl.obolibrary.org/obo/FMA_
#  GO: http://purl.obolibrary.org/obo/GO_
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  OMIT: http://purl.obolibrary.org/obo/OMIT_
#  PATO: http://purl.obolibrary.org/obo/PATO_
#  PO: http://purl.obolibrary.org/obo/PO_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  UO: http://purl.obolibrary.org/obo/UO_
#  lbo: http://purl.obolibrary.org/obo/LBO_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/faang.sssom.tsv
#mapping_set_description: FAANG project curated mappings
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/vg/faang
subject_label	subject_category	predicate_id	object_id	mapping_justification
Cecum	organismPart, cellType	skos:closeMatch	UBERON:0001153	semapv:ManualMappingCuration
Cell	organismPart, cellType	skos:closeMatch	GO:0005623	semapv:ManualMappingCuration
Cells	organismPart, cellType	skos:closeMatch	OMIT:0003806	semapv:ManualMappingCuration
Cerebellar Vermis	organismPart, cellType	skos:closeMatch	UBERON:0004720	semapv:ManualMappingCuration
Cerebellum	organismPart, cellType	skos:closeMatch	UBERON:0002037	semapv:ManualMappingCuration
Cerebral cortex	organismPart, cellType	skos:closeMatch	UBERON:0000956	semapv:ManualMappingCuration
Cerebrum	organismPart, cellType	skos:closeMatch	UBERON:0001893	semapv:ManualMappingCuration
Chicken crossbreed	breed	skos:closeMatch	lbo:0001037	semapv:ManualMappingCuration
Chorioallantoic membrane	organismPart, cellType	skos:closeMatch	UBERON:0005335	semapv:ManualMappingCuration
Cleavage stage (64-cells)	developmentalStage	skos:closeMatch	UBERON:0000107	semapv:ManualMappingCuration
Cold	breed	skos:closeMatch	EO:0007174	semapv:ManualMappingCuration
Colon	organismPart, cellType	skos:closeMatch	UBERON:0001155	semapv:ManualMappingCuration
Colonic epithelium	organismPart, cellType	skos:closeMatch	UBERON:0000397	semapv:ManualMappingCuration
Cornea	organismPart, cellType	skos:closeMatch	UBERON:0000964	semapv:ManualMappingCuration
Corpus Luteum	organismPart, cellType	skos:closeMatch	UBERON:0002512	semapv:ManualMappingCuration
Corpus epididymis	organismPart, cellType	skos:closeMatch	UBERON:0004359	semapv:ManualMappingCuration
Cyprinus carpio carpio	organism, species	skos:closeMatch	NCBITaxon:630221	semapv:ManualMappingCuration
Descending Colon	organismPart, cellType	skos:closeMatch	UBERON:0001158	semapv:ManualMappingCuration
Descending colon	organismPart, cellType	skos:closeMatch	UBERON:0001158	semapv:ManualMappingCuration
Diaphragm	organismPart, cellType	skos:closeMatch	UBERON:0001103	semapv:ManualMappingCuration
Dicentrarchus labrax	organism, species	skos:closeMatch	NCBITaxon:13489	semapv:ManualMappingCuration
Diencephalon	organismPart, cellType	skos:closeMatch	UBERON:0001894	semapv:ManualMappingCuration
Duodenum	organismPart, cellType	skos:closeMatch	UBERON:0002114	semapv:ManualMappingCuration
Duroc	breed	skos:closeMatch	lbo:0000358	semapv:ManualMappingCuration
E14	developmentalStage	skos:closeMatch	EFO:0007075	semapv:ManualMappingCuration
Ear	organismPart, cellType	skos:closeMatch	UBERON:0001690	semapv:ManualMappingCuration
Early (10%) somitogenesis stage	developmentalStage	skos:closeMatch	UBERON:0007220	semapv:ManualMappingCuration
Early blastula stage	developmentalStage	skos:closeMatch	UBERON:0000108	semapv:ManualMappingCuration
Early gastrula stage	developmentalStage	skos:closeMatch	UBERON:0000109	semapv:ManualMappingCuration
Embryo	organismPart, cellType, developmentalStage	skos:closeMatch	UBERON:0000922	semapv:ManualMappingCuration
Embryonic cell	organismPart, cellType	skos:closeMatch	CL:0002321	semapv:ManualMappingCuration
Embryonic fibroblasts	cellType	skos:closeMatch	CL:0000057	semapv:ManualMappingCuration
Endometrium	organismPart, cellType	skos:closeMatch	UBERON:0001295	semapv:ManualMappingCuration
Equus caballus	organism, species, breed	skos:closeMatch	NCBITaxon:9796	semapv:ManualMappingCuration
Esophagus	organismPart, cellType	skos:closeMatch	UBERON:0001043	semapv:ManualMappingCuration
Eye	organismPart, cellType	skos:closeMatch	UBERON:0000970	semapv:ManualMappingCuration
Fat tissue	organismPart, cellType	skos:closeMatch	UBERON:0001013	semapv:ManualMappingCuration
Fayoumi	breed	skos:closeMatch	lbo:0000697	semapv:ManualMappingCuration
Female	sex	skos:closeMatch	PATO:0000383	semapv:ManualMappingCuration
Fetal	developmentalStage	skos:closeMatch	UBERON:0000323	semapv:ManualMappingCuration
Fetus	developmentalStage	skos:closeMatch	UBERON:0000323	semapv:ManualMappingCuration
Fibroblast	cellType	skos:closeMatch	CL:0000057	semapv:ManualMappingCuration
Fibroblasts	cellType	skos:closeMatch	CL:0000057	semapv:ManualMappingCuration
Frontal Cortex	organismPart, cellType	skos:closeMatch	UBERON:0001870	semapv:ManualMappingCuration
G84	breed	skos:closeMatch	EFO:0006411	semapv:ManualMappingCuration
Gall Bladder	organismPart, cellType	skos:closeMatch	UBERON:0002110	semapv:ManualMappingCuration
Gall bladder	organismPart, cellType	skos:closeMatch	UBERON:0002110	semapv:ManualMappingCuration
Gallus Gallus	breed	skos:closeMatch	NCBITaxon:9031	semapv:ManualMappingCuration
Gallus gallus	organism, species, breed	skos:closeMatch	NCBITaxon:9031	semapv:ManualMappingCuration
Gastrula stage	developmentalStage	skos:closeMatch	UBERON:0000109	semapv:ManualMappingCuration
German Landrace	breed	skos:closeMatch	lbo:0000363	semapv:ManualMappingCuration
Gluteal Muscle	organismPart, cellType	skos:closeMatch	UBERON:0002000	semapv:ManualMappingCuration
Gluteus medius	organismPart, cellType	skos:closeMatch	UBERON:0001371	semapv:ManualMappingCuration
Goat crossbreed	breed	skos:closeMatch	lbo:0001038	semapv:ManualMappingCuration
Gonad	organismPart, cellType	skos:closeMatch	UBERON:0000991	semapv:ManualMappingCuration
Grade	breed	skos:closeMatch	EFO:0000326	semapv:ManualMappingCuration
Granulosa	organismPart, cellType	skos:closeMatch	CL:0000236	semapv:ManualMappingCuration
Gut	organismPart, cellType	skos:closeMatch	UBERON:0001007	semapv:ManualMappingCuration
HT	breed	skos:closeMatch	EFO:0002200	semapv:ManualMappingCuration
Hair follicle	organismPart, cellType	skos:closeMatch	UBERON:0002073	semapv:ManualMappingCuration
Hatching stage	developmentalStage	skos:closeMatch	UBERON:0007220	semapv:ManualMappingCuration
Heart	organismPart, cellType	skos:closeMatch	UBERON:0000948	semapv:ManualMappingCuration
Hepatocytes	cellType	skos:closeMatch	CL:0000182	semapv:ManualMappingCuration
Hereford	breed	skos:closeMatch	lbo:0000127	semapv:ManualMappingCuration
Hereford (Line 1)	breed	skos:closeMatch	lbo:0000127	semapv:ManualMappingCuration
Hippocampus	organismPart, cellType	skos:closeMatch	UBERON:0002421	semapv:ManualMappingCuration
Holstein	breed	skos:closeMatch	lbo:0000132	semapv:ManualMappingCuration
Hypothalamus	organismPart, cellType	skos:closeMatch	UBERON:0001898	semapv:ManualMappingCuration
Ileal mucosa	organismPart, cellType	skos:closeMatch	UBERON:0000331	semapv:ManualMappingCuration
Ileal mucosa	organismPart, cellType	skos:closeMatch	UBERON:0012377	semapv:ManualMappingCuration
Ileum	organismPart, cellType	skos:closeMatch	UBERON:0002116	semapv:ManualMappingCuration
Induced pluripotent stem cells	cellType	skos:closeMatch	EFO:0004905	semapv:ManualMappingCuration
Inguinal lymph node	organismPart, cellType	skos:closeMatch	UBERON:0001542	semapv:ManualMappingCuration
Internal Tongue Muscle	organismPart, cellType	skos:closeMatch	UBERON:0001576	semapv:ManualMappingCuration
Isthmus	organismPart, cellType	skos:closeMatch	EFO:0010310	semapv:ManualMappingCuration
Jafarabadi	breed	skos:closeMatch	lbo:0001045	semapv:ManualMappingCuration
Jejunal mucosa	organismPart, cellType	skos:closeMatch	UBERON:0000399	semapv:ManualMappingCuration
Jejunal mucosa	organismPart, cellType	skos:closeMatch	UBERON:0012488	semapv:ManualMappingCuration
Jejunum	organismPart, cellType	skos:closeMatch	UBERON:0002115	semapv:ManualMappingCuration
Keratinocyte	cellType	skos:closeMatch	CL:0000312	semapv:ManualMappingCuration
Kidney	organismPart, cellType	skos:closeMatch	UBERON:0002113	semapv:ManualMappingCuration
Kidney Cortex	organismPart, cellType	skos:closeMatch	UBERON:0001225	semapv:ManualMappingCuration
Kidney cortex	organismPart, cellType	skos:closeMatch	UBERON:0001225	semapv:ManualMappingCuration
L2	breed	skos:closeMatch	EFO:0002719	semapv:ManualMappingCuration
Lamina	organismPart, cellType	skos:closeMatch	UBERON:0000957	semapv:ManualMappingCuration
Landrace	breed	skos:closeMatch	lbo:0000692	semapv:ManualMappingCuration
Landrace,Large White	breed	skos:closeMatch	lbo:0001040	semapv:ManualMappingCuration
Large White	breed	skos:closeMatch	lbo:0000378	semapv:ManualMappingCuration
Large intestine	organismPart, cellType	skos:closeMatch	UBERON:0000059	semapv:ManualMappingCuration
Large white	breed	skos:closeMatch	lbo:0000378	semapv:ManualMappingCuration
Large white sire x Landrace dam	breed	skos:closeMatch	lbo:0001040	semapv:ManualMappingCuration
Late (90%) somitogenesis stage	developmentalStage	skos:closeMatch	UBERON:0007220	semapv:ManualMappingCuration
Late embryonic sage (Late segmenation)	developmentalStage	skos:closeMatch	UBERON:0007220	semapv:ManualMappingCuration
Late embryonic stage (Early segmentation)	developmentalStage	skos:closeMatch	UBERON:0007220	semapv:ManualMappingCuration
Late-gastrula (90% epiboly) stage	developmentalStage	skos:closeMatch	UBERON:0000109	semapv:ManualMappingCuration
Left Testis	organismPart, cellType	skos:closeMatch	UBERON:0004533	semapv:ManualMappingCuration
Left ovary	organismPart, cellType	skos:closeMatch	UBERON:0002119	semapv:ManualMappingCuration
Leg muscle	organismPart, cellType	skos:closeMatch	UBERON:0001383	semapv:ManualMappingCuration
Lens	organismPart, cellType	skos:closeMatch	UBERON:0000965	semapv:ManualMappingCuration
Liver	organismPart, cellType	skos:closeMatch	UBERON:0002107	semapv:ManualMappingCuration
Longissimus Dorsi	organismPart, cellType	skos:closeMatch	UBERON:0001401	semapv:ManualMappingCuration
Longissimus dorsi	organismPart, cellType	skos:closeMatch	UBERON:0001401	semapv:ManualMappingCuration
Lung	organismPart, cellType	skos:closeMatch	UBERON:0002048	semapv:ManualMappingCuration
Lymph Node	organismPart, cellType	skos:closeMatch	UBERON:0000029	semapv:ManualMappingCuration
Lymph node	organismPart, cellType	skos:closeMatch	UBERON:0000029	semapv:ManualMappingCuration
Macrophage	cellType	skos:closeMatch	CL:0000235	semapv:ManualMappingCuration
Male	sex	skos:closeMatch	PATO:0000384	semapv:ManualMappingCuration
Mammary	organismPart, cellType	skos:closeMatch	UBERON:0001911	semapv:ManualMappingCuration
Mammary epithelial cell	cellType	skos:closeMatch	CL:0002327	semapv:ManualMappingCuration
Mammary gland	organismPart, cellType	skos:closeMatch	UBERON:0001911	semapv:ManualMappingCuration
Mediterranean	breed	skos:closeMatch	lbo:0001043	semapv:ManualMappingCuration
Medulla Oblongata	organismPart, cellType	skos:closeMatch	UBERON:0001896	semapv:ManualMappingCuration
Meishan	breed	skos:closeMatch	lbo:0000381	semapv:ManualMappingCuration
Meishan sire x White Composite dam	breed	skos:closeMatch	lbo:0001040	semapv:ManualMappingCuration
Mid (50%) somitogenesis stage	developmentalStage	skos:closeMatch	UBERON:0007220	semapv:ManualMappingCuration
Mid-gastrula (60% epiboly) stage	developmentalStage	skos:closeMatch	UBERON:0000109	semapv:ManualMappingCuration
Midbrain	organismPart, cellType	skos:closeMatch	UBERON:0001891	semapv:ManualMappingCuration
Milk	organismPart, cellType	skos:closeMatch	BTO:0000868	semapv:ManualMappingCuration
Mixed	cellType, breed	skos:closeMatch	EFO:0001271	semapv:ManualMappingCuration
Monocyte	organismPart, cellType	skos:closeMatch	BTO:0000876	semapv:ManualMappingCuration
Muscle	organismPart, cellType	skos:closeMatch	UBERON:0002385	semapv:ManualMappingCuration
ND064	breed	skos:closeMatch	EFO:0005182	semapv:ManualMappingCuration
ND118	breed	skos:closeMatch	EFO:0005182	semapv:ManualMappingCuration
ND131	breed	skos:closeMatch	EFO:0005182	semapv:ManualMappingCuration
ND148	breed	skos:closeMatch	EFO:0005182	semapv:ManualMappingCuration
ND158	breed	skos:closeMatch	EFO:0005182	semapv:ManualMappingCuration
ND166	breed	skos:closeMatch	EFO:0005182	semapv:ManualMappingCuration
ND169	breed	skos:closeMatch	EFO:0005182	semapv:ManualMappingCuration
ND183	breed	skos:closeMatch	EFO:0005182	semapv:ManualMappingCuration
ND719	breed	skos:closeMatch	EFO:0005182	semapv:ManualMappingCuration
ND730	breed	skos:closeMatch	EFO:0005182	semapv:ManualMappingCuration
Nasal pharynx	organismPart, cellType	skos:closeMatch	UBERON:0001042	semapv:ManualMappingCuration
Near to hatching stage	developmentalStage	skos:closeMatch	UBERON:0007220	semapv:ManualMappingCuration
Nellore	breed	skos:closeMatch	lbo:0000563	semapv:ManualMappingCuration
Neonatal	developmentalStage	skos:closeMatch	EFO:0001372	semapv:ManualMappingCuration
Neural crest	organismPart, cellType	skos:closeMatch	CL:0000333	semapv:ManualMappingCuration
Newborn	developmentalStage	skos:closeMatch	EFO:0001372	semapv:ManualMappingCuration
Newcastle disease	healthStatus	skos:closeMatch	EFO:0007395	semapv:ManualMappingCuration
Nodose ganglion	organismPart, cellType	skos:closeMatch	UBERON:0005363	semapv:ManualMappingCuration
Normal	healthStatus, breed	skos:closeMatch	PATO:0000461	semapv:ManualMappingCuration
Norwegian Red	breed	skos:closeMatch	lbo:0000198	semapv:ManualMappingCuration
Oncorhynchus mykiss	organism, species	skos:closeMatch	NCBITaxon:8022	semapv:ManualMappingCuration
Oocyte	organismPart, cellType, developmentalStage	skos:closeMatch	CL:0000023	semapv:ManualMappingCuration
Oryctolagus cuniculus	organism	skos:closeMatch	NCBITaxon:9986	semapv:ManualMappingCuration
Ovarian section (without Corpus Luteum)	organismPart, cellType	skos:closeMatch	UBERON:0006960	semapv:ManualMappingCuration
Ovary	organismPart, cellType	skos:closeMatch	UBERON:0000992	semapv:ManualMappingCuration
Ovis aries	organism, species, breed	skos:closeMatch	NCBITaxon:9940	semapv:ManualMappingCuration
Ovis orientalis	organism	skos:closeMatch	NCBITaxon:469796	semapv:ManualMappingCuration
P1	breed	skos:closeMatch	EFO:0002948	semapv:ManualMappingCuration
Palatine Tonsil	organismPart, cellType	skos:closeMatch	UBERON:0002373	semapv:ManualMappingCuration
Pancreas	organismPart, cellType	skos:closeMatch	UBERON:0001264	semapv:ManualMappingCuration
Pandharpuri	breed	skos:closeMatch	lbo:0001044	semapv:ManualMappingCuration
