#curie_map:
#  DOID: http://purl.obolibrary.org/obo/DOID_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#  omim: http://identifiers.org/omim/
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/cttv.sssom.tsv
#mapping_set_description: Curated disease indication mappings from Open Targets
#subject_type: rdfs literal
#subject_source: https://www.targetvalidation.org
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
Achromatopsia	disease	skos:closeMatch	ORPHA:49382	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Achromatopsia-2	disease	skos:closeMatch	ORPHA:49382	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Achromatopsia-3	disease	skos:closeMatch	ORPHA:49382	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Achromatopsia-4	disease	skos:closeMatch	ORPHA:49382	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Acne inversa, familial, 3	disease	skos:closeMatch	DOID:2280	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Acrocallosal syndrome	disease	skos:closeMatch	ORPHA:36	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Acrocapitofemoral dysplasia	disease	skos:closeMatch	ORPHA:63446	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Acrodermatitis enteropathica  (Disorder of zinc metabolism)	disease	skos:closeMatch	ORPHA:37	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Acrodysostosis 1, with or without hormone resistance	disease	skos:closeMatch	ORPHA:950	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Acrodysostosis 2, with or without hormone resistance	disease	skos:closeMatch	ORPHA:950	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
